Episode,Fault,Success,MTTD,MTTR,Messages
381,CommunicationLoss,True,4.1149025882303185,13.235810073135996,6
382,CommunicationLoss,True,3.8060419162320995,12.15989010510914,6
383,PacketDelay,True,2.8785303184490254,10.799050202207505,5
384,SensorNoise,True,1.0899406999967272,5.465399478898246,3
385,InformationDelay,True,2.790973287769698,8.841280363435306,4
386,ModelDrift,True,7.1314641526537415,21.51804607279121,9
387,SensorDrift,True,1.7777918005116489,6.9427716201391405,4
388,GatewayFailure,True,4.6205050191853205,16.565104384581346,7
389,CommunicationLoss,True,3.8131121522263616,12.792078616554528,6
390,SensorDrift,True,1.5491099789380407,7.196426933230479,4
391,CommunicationLoss,True,3.985320589748758,12.503632109581732,6
392,PacketDelay,True,2.989450299167655,10.340091491185532,5
393,CommunicationLoss,True,4.1120131254359436,11.98685327905633,6
394,CommunicationLoss,True,3.4677993490486085,11.603926168314958,6
395,CommunicationLoss,True,3.5948189758851585,12.414297415315666,6
396,ActuatorFailure,True,4.994881123066827,18.438450132468102,7
397,CommunicationLoss,True,3.6275826423610527,12.721406184619749,6
398,MissingData,True,2.3207211607691223,7.611110902264168,3
399,ModelDrift,True,6.588178645241101,21.777627382647445,9
400,AnalyticsFailure,True,6.343735539613158,17.16806578506648,8
401,MissingData,True,1.933601693207291,8.191346629675886,3
402,AnalyticsFailure,True,5.610039118900614,17.65785302803815,8
403,GatewayFailure,True,4.40079347205604,15.763857238539247,7
404,ModelDrift,True,7.295896704951026,22.305924491373425,9
405,CommunicationLoss,True,3.805184362994949,11.81240093149839,6
406,MissingData,True,2.252867543537893,7.227368148536662,3
407,CommunicationLoss,True,4.163898800564383,13.292488244666997,6
408,ModelDrift,False,6.494514839175174,22.013570538282544,9
409,CommunicationLoss,True,3.7936334844513167,12.031433087885976,6
410,ModelDrift,True,6.828067541726401,20.90431287244247,9
411,SensorDrift,False,1.5324981747114261,7.479223956620719,4
412,GatewayFailure,True,4.9923188220702475,15.488058778799077,7
413,MissingData,True,2.0326376730714166,7.932152097861468,3
414,CommunicationLoss,True,3.699756995224179,12.180032287415242,6
415,SensorDrift,False,1.624140876299068,7.012322663121577,4
416,ModelDrift,True,7.005994397449166,19.128509131459232,9
417,SensorDrift,True,1.6117027064106881,6.197213557179158,4
418,SensorDrift,True,1.8054098514021286,6.6695738597089145,4
419,CommunicationLoss,True,3.5495460740609586,11.539910941356954,6
420,SensorDrift,True,1.6305055753007898,7.35339972502924,4
421,MissingData,False,2.225611140690823,7.777026264692436,3
422,PacketDelay,True,3.1630287471264564,9.880060781256569,5
423,ModelDrift,True,7.053392630868434,20.96431944670066,9
424,ActuatorFailure,True,5.549481313715174,16.518890247679284,7
425,ModelDrift,True,6.351181863123689,21.04306791347339,9
426,PacketDelay,True,2.8523015114521524,10.140392980434045,5
427,PacketDelay,False,3.1089860490781414,10.3204245784607,5
428,ActuatorFailure,True,5.55586184779783,18.35860993669294,7
429,CommunicationLoss,False,3.612523936307369,12.044486209733302,6
430,AnalyticsFailure,True,5.855362356139926,20.146794875853704,8
431,CommunicationLoss,True,3.8904615818332817,12.657589601878788,6
